,descricao,a,b,c,d,e,src
24, Considere a afirmação: “Ou arranjo emprego ou não me caso”. A negação dessa afirmação é: ,"Se eu arranjo emprego, então eu me caso.","Se eu não arranjo emprego, então eu me caso.",Ou não arranjo emprego ou me caso.,Ou não arranjo emprego ou não me caso.,Arranjo emprego e não me caso.,/questoes-de-concursos/questoes/00b8d860-84
25, Considere a seguinte frase: “Se Rafael conseguir terminar o projeto a tempo então poderá viajar” A negação lógica para a frase é: ,Se Rafael conseguir terminar o projeto a tempo então não poderá viajar.,Rafael não consegue terminar o projeto a tempo e não viaja. ,Rafael não consegue terminar o projeto a tempo e viaja. ,Se Rafael não conseguir terminar o projeto a tempo então não poderá viajar.,Rafael consegue terminar o projeto a tempo e não viaja.,/questoes-de-concursos/questoes/166664a9-80
26,error,"Quarta, quinta, terça e Segunda. ","Segunda, quinta, terça e Quarta. ","Segunda, terça, quarta e quinta.","Quarta, terça, quinta e segunda.","Terça, quinta, segunda e quarta.",/questoes-de-concursos/questoes/ed213e66-7f
27," Juliana estava olhando os álbuns de família quando apontou para uma fotografia e disse: “Eu não tenho irmã, e a mãe dessa mulher é filha da minha mãe”. A mulher da fotografia é a:  ",Juliana.,filha da Juliana.,mãe da Juliana. ,irmã da Juliana.,neta da Juliana. ,/questoes-de-concursos/questoes/90ca939d-7e
28, Considere a sentença: “Todo advogado é bom orador.” A negação lógica dessa sentença é: ,Nenhum advogado é bom orador. ,Todo bom orador é advogado. ,Nenhum bom orador é advogado.,Algum advogado não é bom orador. ,Algum bom orador não é advogado. ,/questoes-de-concursos/questoes/8f352511-7d
29," Sabe-se que a sentença “Se Antonio é advogado, então Carla é engenheira ou Diana não é médica”é falsa. É correto concluir que   ",Antônio é advogado e Diana é médica. ,Antônio não é advogado e Carla é engenheira.  ,"Se Carla não é engenheira, então Diana não é médica.","Se Diana é médica, então Antônio não é advogado. ",Carla é engenheira ou Diana não é médica. ,/questoes-de-concursos/questoes/8f3223e6-7d
30, A negação da proposição “Todo professor acompanha o processo de aprendizagem de seu aluno” é:  ,Existe professor que não acompanha o processo de aprendizagem de seu aluno.,Existe professor que acompanha o processo de aprendizagem de seu aluno.,Nenhum professor acompanha o processo de aprendizagem de seu aluno.,Todo o processo de aprendizagem do aluno é acompanhado por algum professor.,O processo de aprendizagem do aluno é acompanhado por todo professor. ,/questoes-de-concursos/questoes/bab278e5-76
31,none,none,none,none,none,none,/questoes-de-concursos/questoes/b0da5ae0-74
32," Se não chover, então vou ao parque ou vou ao cinema. Não fui ao cinema e não choveu. Portanto, é possível afirmar que:  ",Choveu ou fui ao cinema. ,Não fui ao parque.,Fui ao cinema.,Choveu e fui ao cinema. ,Fui ao parque.,/questoes-de-concursos/questoes/c29d307c-74
33," Sabendo que é falsa a afirmação “Nenhum aluno está preparado para a prova”, então, de acordo com a lógica, a afirmação obrigatoriamente verdadeira é: ",Todos os alunos estão preparados para a prova.,Existe aluno que está preparado para a prova.,"Dentre aqueles que se prepararam para a prova, todos são aluno.","Dentre aqueles que se prepararam para a prova, nenhum é aluno.",Todos os alunos não se prepararam para a prova.,/questoes-de-concursos/questoes/c29a7243-74
34," A negativa correta para a afirmação ""O professor fala e os alunos escutam"" é: ",O professor não fala ou os alunos não escutam.,O professor fala ou os alunos não escutam. ,O professor não fala e os alunos escutam.,O professor fala e os alunos não escutam. ,O professor não fala e os alunos não escutam.,/questoes-de-concursos/questoes/818af68b-72
35,none,none,none,none,none,none,/questoes-de-concursos/questoes/298a3b8c-68
36,none,none,none,none,none,none,/questoes-de-concursos/questoes/2986fcad-68
37,error,se somente a afirmativa I for obrigatoriamente verdadeira. ,se somente a afirmativa II for obrigatoriamente verdadeira.,se somente a afirmativa III for obrigatoriamente verdadeira.,se somente as afirmativas I e III forem obrigatoriamente verdadeiras. ,se somente as afirmativas II e III forem obrigatoriamente verdadeiras.,/questoes-de-concursos/questoes/fa9f9a56-67
38,none,none,none,none,none,none,/questoes-de-concursos/questoes/af23c113-62
39,none,none,none,none,none,none,/questoes-de-concursos/questoes/af20db77-62
40,none,none,none,none,none,none,/questoes-de-concursos/questoes/af1d8a13-62
41,none,none,none,none,none,none,/questoes-de-concursos/questoes/af19e2ea-62
42,none,none,none,none,none,none,/questoes-de-concursos/questoes/96da67f8-5c
43,none,none,none,none,none,none,/questoes-de-concursos/questoes/45e3f5a3-4e
44,none,none,none,none,none,none,/questoes-de-concursos/questoes/bd2a4bb3-4e
45,error,Nenhum arquiteto é urbanista. ,Nenhum urbanista é arquiteto. ,Pelo menos um arquiteto é urbanista.,Pelo menos um arquiteto não é urbanista.  ,Não existe arquiteto urbanista.,/questoes-de-concursos/questoes/eb695ea5-47
46,none,none,none,none,none,none,/questoes-de-concursos/questoes/74dacaeb-43
47,none,none,none,none,none,none,/questoes-de-concursos/questoes/74d7da37-43
48,none,none,none,none,none,none,/questoes-de-concursos/questoes/dfef766f-43
49,error,"A farmácia CAMOMILA não funciona por 24 horas, mas tem caixa eletrônico.",A farmácia CAMOMILA não funciona por 24 horas ou não tem caixa eletrônico. ,A farmácia CAMOMILA funciona por 24 horas e não tem caixa eletrônico.,A farmácia CAMOMILA não funciona por 24 horas e não tem caixa eletrônico.,A farmácia CAMOMILA funciona por 24 horas ou tem caixa eletrônico. ,/questoes-de-concursos/questoes/79be8a3e-43
50," Uma afirmação equivalente à afirmação ‘Se Alice estuda, então ela faz uma boa prova, e se Alice estuda, então ela não fica triste’ é ","Se Alice estuda, então ela não faz uma boa prova ou ela fica triste.","Se Alice fica triste e não faz uma boa prova, então ela não estuda.","Se Alice estuda, então ela faz uma boa prova e ela não fica triste.",Alice estuda e ela faz uma boa prova e não fica triste. ,"Alice não estuda, e ela faz uma boa prova ou não fica triste.",/questoes-de-concursos/questoes/02fc18f2-40
51, Considere as seguintes proposições: I. João é mineiro. II. João nasceu em Minas Gerais. A interpretação correta dessas proposições no que tange às relações lógicas é:  ,"João não é mineiro. Logo, ele nasceu em Minas Gerais. ","Se João é mineiro, então ele não nasceu em Minas Gerais.","Se João não é mineiro, então ele nasceu em Minas Gerais.","Se João não nasceu em Minas Gerais, então ele é mineiro.","João é mineiro se, e somente se, ele nasceu em Minas Gerais.",/questoes-de-concursos/questoes/213dc3a7-3e
52," Na afirmação “Gosto de pão ou de carne”, o uso do conectivo “ou” indica ","exclusão e, com isso, essa pessoa gosta somente de carne.","exclusão e, com isso, essa pessoa não gosta nem de pão nem de carne.","exclusão e, por isso, deve-se entender que essa pessoa gosta só de pão e não gosta de carne.","inclusão e, por isso, significa que a pessoa gosta, com certeza, tanto de pão quanto de carne."," inclusão, significando que a pessoa pode gostar só de pão, só de carne ou pode gostar dos dois ao mesmo tempo. ",/questoes-de-concursos/questoes/21333544-3e
53,error,a + c = 12.,a ≠ 4., a + d = 10.,d = 6.,c + d = 14.,/questoes-de-concursos/questoes/09730794-3e
54,none,none,none,none,none,none,/questoes-de-concursos/questoes/dc4c64a9-3d
55,none,none,none,none,none,none,/questoes-de-concursos/questoes/b29a4f22-3d
56, Dada a proposição:  P: Todo funcionário público é eficiente. Qual das alternativas abaixo representa a negação de P? ,Todos os funcionários públicos são ineficientes.,Nenhum funcionário público é eficiente.,Algum funcionário público que não é eficiente.,Funcionários públicos não são eficientes.,Funcionários públicos são ineficientes. ,/questoes-de-concursos/questoes/1b320cc5-3c
57,error,Nenhum urso branco é amigo da onça.,Algum urso branco não é amigo da onça.,Todo urso marrom é amigo da onça.,Nenhuma onça é amiga de urso branco. ,Algum urso não é branco e é amigo da onça.,/questoes-de-concursos/questoes/5d05e942-3b
58,error,"Se a cobra morde e não é venenosa, então ela não é verde.","Se a cobra não é verde, então ela morde e não é venenosa. ","Se a cobra não é verde, então ela não morde ou não é venenosa.",A cobra é verde e não morde ou é venenosa.  ,A cobra não é verde e morde e não é venenosa.,/questoes-de-concursos/questoes/5d02d009-3b
59,error,"Cão que não morde, ladra.","Cão que não ladra, morde.","Cão que morde, não ladra.",Um cão não ladra ou morde.,Um cão ladra ou morde.,/questoes-de-concursos/questoes/e62083b3-39
60,error,"Se todo sapo é amarelo, então nenhuma perereca é vermelha.",Todo sapo é amarelo e nenhuma perereca é vermelha.,"Se nem todo sapo é amarelo, então alguma perereca é vermelha.","Se nenhum sapo é amarelo, então toda perereca é vermelha. ",Nem todo sapo é amarelo ou alguma perereca é vermelha. ,/questoes-de-concursos/questoes/46e97c5f-38
61,error,"“Se não faço hora extra, então não chego cedo.” ","“Se faço hora extra, então não chego cedo.” ","“Se chego cedo, então não faço hora extra.” ",“Chego cedo e faço hora extra.”,“Chego cedo ou faço hora extra.” ,/questoes-de-concursos/questoes/f3e52bff-38
62," Considere a sentença “Se o casaco é de couro, então está frio”. Uma sentença logicamente equivalente à sentença dada é ","“Se o casaco não é de couro, então não está frio.”","“Se está frio, então o casaco é de couro.”","“Se não está frio, então o casaco é de couro.”",“O casaco é de couro e não está frio.”,“O casaco não é de couro ou está frio.” ,/questoes-de-concursos/questoes/a93c7ca5-38
63, Assinale a alternativa correta.   ," A negação de “Se é mineiro, então nasceu em Minas Gerais” é “Se não nasceu em Minas Gerais, então não é mineiro”. ",A negação de “Todo psicólogo é intelectual” é “Nenhum psicólogo é intelectual”.,“Pão de queijo é gostoso!” é uma proposição.,“Brasília é a capital de Minas Gerais” é uma proposição.,As contradições são também denominadas proposições logicamente verdadeiras.,/questoes-de-concursos/questoes/dc0721b8-38
64,none,none,none,none,none,none,/questoes-de-concursos/questoes/cb7ff5de-37
65,none,none,none,none,none,none,/questoes-de-concursos/questoes/1358127a-37
66," Considere falsidade a proposição (I) e verdade a proposição (II). I. Se Rodrigo é analista de software, então Rita é enfermeira. II. Rita é enfermeira ou Joana é dentista. Com base nas informações apresentadas, é verdade que ",Rodrigo é analista de software e Joana é dentista.,Rodrigo não é analista de software e Joana é dentista.,Rodrigo não é analista de software e Rita não é enfermeira.,Rita é enfermeira e Joana é dentista.,Rita não é enfermeira e Joana não é dentista. ,/questoes-de-concursos/questoes/8f8b66bf-36
67,"     Certo dia, um departamento do Conselho Regional de Serviço Social da 23.ª Região divulgou a seguinte informação para seus colaboradores: “Todos os colaboradores do Conselho têm pelo menos 23 anos de idade”. Horas mais tarde, um colaborador do departamento de recursos humanos percebeu que essa informação não era verdadeira. Com base nessa situação hipotética, é correto afirmar que isso significa que  ",todos os colaboradores do Conselho têm mais de 23 anos de idade.,todos os colaboradores do Conselho têm menos de 23 anos de idade. ,todos os colaboradores do Conselho têm menos de 22 anos de idade. ,pelo menos 1 colaborador do Conselho tem menos de 23 anos de idade. ,pelo menos 1 colaborador do Conselho tem menos de 22 anos de idade.  ,/questoes-de-concursos/questoes/5e7f5623-32
68,none,none,none,none,none,none,/questoes-de-concursos/questoes/56d11d07-32
69,none,none,none,none,none,none,/questoes-de-concursos/questoes/d1c7a207-32
70,error,"Se André tem mais de 40 anos, então ele é funcionário com graduação completa. ","André é funcionário com graduação completa, mas não tem mais de 40 anos. ","André não é funcionário com graduação completa, contudo tem mais de 40 anos. ",André não é funcionário com graduação completa ou tem mais de 40 anos. ,"André é funcionário com graduação completa, entretanto tem mais de 40 anos. ",/questoes-de-concursos/questoes/03441389-31
71,none,none,none,none,none,none,/questoes-de-concursos/questoes/80028792-31
72," Do ponto de vista da lógica matemática, qual é a proposição equivalente à seguinte proposição: “Não é verdade que arroz e pão são fontes de proteína.”?  ","Se arroz não é fonte de proteína, então pão não é fonte de proteína. ",Arroz e pão são fontes de proteína. ,Arroz ou pão são fontes de proteína. ,"Se arroz é fonte de proteína, então pão é fonte de proteína.  ","Se pão é fonte de proteína, então arroz não é fonte de proteína.",/questoes-de-concursos/questoes/d199b1b7-30
73, De acordo com as afirmações abaixo: - Todo ambientalista é formado. - Alguns formados são supervisores. - Nenhum supervisor é ambientalista. É correto afirmar que: ,Todo formado é ambientalista,Pode haver ambientalista não formado,Existe ambientalista que é supervisor,Pode haver supervisor que não é formado,Existe supervisor formado e ambientalista,/questoes-de-concursos/questoes/079f9b32-2f
74, A negação de “sou de Rondônia e não torço para time carioca” é  ,“sou de Rondônia ou torço para time carioca”. ,"“não sou de Rondônia, então torço para time carioca”. ",“não sou de Rondônia nem torço para time carioca”. ,“não sou de Rondônia e torço para time carioca”. ,“não sou de Rondônia ou torço para time carioca”. ,/questoes-de-concursos/questoes/e0f7012f-2c
75," A frase “Se a floresta foi explorada, então os animais estão ameaçados” é logicamente equivalente a frase: ","Se a floresta não foi explorada, então os animais estão ameaçados","Se a floresta não foi explorada, então os animais não estão ameaçados ","Se a floresta foi explorada, então os animais não estão ameaçados","Se os animais não estão ameaçados, então a floresta não foi explorada","Se os animais estão ameaçados, então a floresta foi explorada",/questoes-de-concursos/questoes/cdac0e8b-2b
76," Considerando que as premissas seguintes são verdadeiras, analise os itens: I. Se Carlos é advogado, então passou no exame. Carlos não passou no exame. Logo, Carlos não é advogado. II. Maria assiste à TV ou Felipe joga futebol. Felipe não joga futebol. Logo, Maria não assiste à TV. III. Todo triângulo é polígono. Existe polígono que têm lados de medidas iguais. Logo, todo triângulo têm lados de medidas iguais. Quanto a validade ou não dos argumentos, é correto afirmar que: ",Somente I e III são válidos, I e II são válidos ,Somente III não é válido,"I, II e III não são válidos",Somente I é válido,/questoes-de-concursos/questoes/cda8fae8-2b
77,none,none,none,none,none,none,/questoes-de-concursos/questoes/5e9f3371-2b
78, Assinale a alternativa que apresenta a negação da proposição composta “Gabriel não vai trabalhar ou Márcio vai estudar”. ,Gabriel vai trabalhar e Márcio vai estudar.,Gabriel não vai trabalhar e Márcio não vai estudar.,Gabriel vai trabalhar e Márcio não vai estudar.,Gabriel vai trabalhar ou Márcio não vai estudar.,Gabriel não vai trabalhar e Márcio vai estudar.,/questoes-de-concursos/questoes/d3b143a3-2b
79,none,none,none,none,none,none,/questoes-de-concursos/questoes/3d4eb150-2b
80,none,none,none,none,none,none,/questoes-de-concursos/questoes/3cb956b2-2a
81," Uma proposição equivalente de “Se chove em Vacaria, então faz calor no verão” é: ",Chove em Vacaria.,Faz muito calor no verão em Vacaria.,"Se não chove em Vacaria, então não faz calor no verão.","Chove em Vacaria se, e somente se, faz calor no verão.",Não chove em Vacaria ou faz calor no verão.,/questoes-de-concursos/questoes/1dc6d895-2a
82,none,none,none,none,none,none,/questoes-de-concursos/questoes/0a68c2bd-26
83,error,Apenas o argumento I é válido.,Apenas o argumento II é válido.,Apenas o argumento III é válido.,Os argumentos I e II são válidos.,Os argumentos II e III são válidos.,/questoes-de-concursos/questoes/ab3746c4-26
84,none,none,none,none,none,none,/questoes-de-concursos/questoes/7e4bb530-26
85,none,none,none,none,none,none,/questoes-de-concursos/questoes/7e45969a-26
86,none,none,none,none,none,none,/questoes-de-concursos/questoes/7e3ed879-26
87,none,none,none,none,none,none,/questoes-de-concursos/questoes/a452f490-24
88,none,none,none,none,none,none,/questoes-de-concursos/questoes/2ce6e1e5-24
89,error,Matheus ensaia com determinação e ele não faz uma boa apresentação e ele não fica classificado.,Matheus ensaia com determinação ou ele faz uma boa apresentação ou ele não fica classificado.,Matheus ensaia com determinação e ele não faz uma boa apresentação ou ele não fica classificado.,Matheus não ensaia com determinação ele não faz uma boa apresentação ou fica classificado.,Se Matheus fica classificado então ele fez uma boa apresentação e ensaiou com determinação.,/questoes-de-concursos/questoes/12fdf1e2-20
90,error,Hoje não é sábado e amanhã não sairemos.,Hoje não é sábado então amanhã sairemos.,Hoje não é sábado ou amanhã sairemos.,Hoje não é sábado nem amanhã sairemos.,Hoje é sábado ou amanhã sairemos. ,/questoes-de-concursos/questoes/a8c57dc7-20
91,error,Virgínia e atriz e Sérgio e cenógrafo.,"Virgínia é atriz se, e somente se, Sérgio é cenógrafo.",Virgínia não é atriz e Sérgio é cenógrafo.,Virgínia não é atriz e Sérgio não é cenógrafo.,"Virgínia não é atriz se, e somente se, Sérgio não é cenógrafo.",/questoes-de-concursos/questoes/a00e4484-20
92,error," Se sou bom em oratória, então faço discurso. ","Se não sou bom em oratória, então não faço discurso.","Se não faço discurso, então não sou bom em oratória.",Posso ser bom em oratória sem saber fazer discurso.,Posso ser fazedor de discurso sem ser bom em oratória.,/questoes-de-concursos/questoes/a00b505f-20
93,error,Marcia não foi à festa e foi ao passeio ou seu marido não foi ao clube.,Marcia não foi à festa ou foi ao passeio e seu marido não foi ao clube.,Marcia não foi à festa e não foi ao passeio e seu marido não foi ao clube. ,Marcia foi à festa e não foi ao passeio ou seu marido foi ao clube.,Marcia foi à festa e foi ao passeio e seu marido não foi ao clube.,/questoes-de-concursos/questoes/a007ab1a-20
94,none,none,none,none,none,none,/questoes-de-concursos/questoes/7a99a922-1a
95, Considere o valor-lógico das seguintes proposições simples: André é funcionário com graduação completa é verdadeira. André tem mais de 40 anos é falsa. A alternativa que apresenta uma sentença verdadeira para o conetivo da conjunção e negação é: ," Se André tem mais de 40 anos, então ele é funcionário com graduação completa. "," André é funcionário com graduação completa, mas não tem mais de 40 anos. "," André não é funcionário com graduação completa, contudo tem mais de 40 anos. ",André não é funcionário com graduação completa ou tem mais de 40 anos.," André é funcionário com graduação completa, entretanto tem mais de 40 anos. ",/questoes-de-concursos/questoes/2715f733-16
96,none,none,none,none,none,none,/questoes-de-concursos/questoes/15ad6871-16
97,none,none,none,none,none,none,/questoes-de-concursos/questoes/dca14616-14
98,none,none,none,none,none,none,/questoes-de-concursos/questoes/3620c03e-11
99," Hugo não conseguiu assistir ao último episódio de sua série televisa favorita. No capítulo anterior, o protagonista, Ned, estava em vias de enfrentar uma guerra sangrenta que poderia levá-lo à morte. Sabendo que seus amigos Bernardo, Fernando e Ronaldo tinham visto o final do seriado, Hugo pediu, explicitamente, que não lhe contassem o que havia ocorrido. Por diversão, os colegas resolveram escrever, cada um, uma mensagem anônima para Hugo. Os bilhetes foram recebidos na seguinte ordem: 1º: “A guerra foi evitada” 2º: “A guerra não foi evitada” 3º “Ned morreu na guerra”. Hugo sabe que: (i) Bernardo sempre fala a verdade (ii) Fernando sempre mente e (iii) Ronaldo às vezes fala a verdade e, outras vezes, mente. Analisando as três mensagens, Hugo conseguiu identificar, pela caligrafia, a que havia sido escrita por Ronaldo. Tal constatação levou Hugo a concluir corretamente o final do seriado. Diante disso, responda: a primeira, a segunda e a terceira mensagem foram enviadas, respectivamente, por ","Bernardo, Fernando e Ronaldo.","Bernardo, Ronaldo e Fernando.","Fernando, Bernardo e Ronaldo.","Ronaldo, Bernardo e Fernando.","Fernando, Ronaldo e Bernardo.",/questoes-de-concursos/questoes/20c290bd-11
