,descricao,a,b,c,d,e,src
24, Dizer que Cláudio ingressará no Banpará por concurso público para Técnico Bancário ou André não mora em Belém é logicamente equivalente a dizer que: ,"Se André não mora em Belém, então Cláudio ingressará no Banpará por concurso público para Técnico Bancário. "," Se André mora em Belém, então Cláudio não ingressará no Banpará por concurso público para Técnico Bancário. ","Se Cláudio ingressa no Banpará por concurso público para Técnico Bancário, então André não mora em Belém. ","Se Cláudio não ingressa no Banpará por concurso público para Técnico Bancário, então André não mora em Belém. "," Se Cláudio não ingressa no Banpará por concurso público para Técnico Bancário, então não é verdade que André não mora em Belém. ",/questoes-de-concursos/questoes/e743144c-c6
25, Assinale a alternativa que apresenta a negação da seguinte premissa: “o cachorro late e o pássaro canta”. ,O cachorro não late ou o pássaro não canta. ,O cachorro não late e o pássaro não canta. ,O cachorro late ou o pássaro canta. ,O cachorro e o pássaro não latem nem cantam ,O cachorro não late e o pássaro canta. ,/questoes-de-concursos/questoes/f6db0624-c6
26, A sentença negativa de “Meu pai é italiano e minha mãe não é francesa” é: ,Meu pai é italiano ou minha mãe não é francesa. ,Meu pai não é italiano nem minha mãe é francesa. ,Meu pai não é italiano ou minha mãe é francesa. ,"Meu pai não é italiano, então minha mãe é francesa. ",Meu pai não é italiano e minha mãe não é francesa. ,/questoes-de-concursos/questoes/070149f5-c5
27,error,"Se não treino tênis, então jogo bola. ","Se treino tênis, então não jogo bola. ","Se jogo bola, então não treino tênis. ",Só treino tênis após jogar bola. ,Só jogo bola após treinar tênis. ,/questoes-de-concursos/questoes/512a43f0-c3
28, Assinale a alternativa que indica a conclusão que se segue logicamente das seguintes premissas: “Todos os seres vivos são mortais”. “As tartarugas são seres vivos”. ,“As tartarugas são imortais”. ,“Os seres vivos são tartarugas”. ,“As tartarugas são mortais”. ,“Os seres mortais são vivos”. ,“Os seres mortais são tartarugas”. ,/questoes-de-concursos/questoes/3e3df144-c3
29,error,João não vai viajar com a orquestra na terça-feira. ,João e Maria certamente vão viajar na terça-feira. ,Maria e a orquestra vão viajar durante a semana. ,João e Maria vão viajar apenas no domingo. ,João e Maria não vão viajar no fim de semana. ,/questoes-de-concursos/questoes/39692b43-c3
30," Em uma biblioteca, toda história é interessante. Todo livro, se não tem mapas, tem história, ou tem poemas. Ora, não há mapas e não há poemas que não sejam interessantes. Portanto, tem-se que, necessariamente, ",todo interessante é livro ,todo interessante é mapa ou poema. , todo livro é interessante. ,algum mapa é poema ,alguma história é mapa. ,/questoes-de-concursos/questoes/85ccd498-bf
31, Dizer que não é verdade que a melancia é vermelha e o tomate é verde é logicamente equivalente a dizer que é verdade que ,"se a melancia não é vermelha, então o tomate não é verde. ",a melancia não é vermelha ou o tomate não é verde ,a melancia não é vermelha e o tomate não é verde. ,"se a melancia não é vermelha, então o tomate é verde. ",a melancia é vermelha ou o tomate não é verde. ,/questoes-de-concursos/questoes/8308cbbb-bf
32,none,none,none,none,none,none,/questoes-de-concursos/questoes/2b9288fc-bd
33,none,none,none,none,none,none,/questoes-de-concursos/questoes/28378e78-bd
34, Qual a negação da afirmação “todos os funcionários da ALGÁS são brasileiros”? ,“Nenhum funcionário da ALGÁS é brasileiro.” ,“Existe pelo menos um brasileiro que não é funcionário da ALGÁS.” ,“Pelo menos um funcionário da ALGÁS é estrangeiro.'' ,“Nenhum funcionário da ALGÁS é estrangeiro.” ,“Existem estrangeiros que não são funcionários da ALGÁS.” ,/questoes-de-concursos/questoes/d250d1af-bc
35,error,nem todo abacaxi é azedo. , nem todo abacaxi é doce. ,nenhum abacaxi é doce. , nenhum abacaxi é azedo. ,todo abacaxi é doce. ,/questoes-de-concursos/questoes/83dec22f-bb
36,error,Júlia	não	gosta	de	gatos	ou	Júnior	gosta	de	cachorros ,Júlia	gosta	de	gatos	ou	Júnior	não	gosta	de	cachorros ,"Júlia	não	gosta	de	gatos	se,	e	somente	se	Júnior	não gostar de cachorros ",Júlia não gosta de gatos ou Júnior não gosta de cachorros. , Júlia	não	gosta	de	gatos	e	Júnior	não	gosta	de	cachorros. ,/questoes-de-concursos/questoes/a713a1a4-ba
37," Assinale a alternativa que contém a sentença logicamente equivalente a “Carlos não é alto ou Rodrigo é forte"". ","Se Carlos é alto, então Rodrigo é forte.","Se Carlos não é alto, então Rodrigo é forte.","Se Carlos não é alto, então Rodrigo não é forte.","Se Carlos é alto, então Rodrigo não é forte.","Se Rodrigo é forte, então Carlos é alto.",/questoes-de-concursos/questoes/821c3ca4-b9
38, Qual é a alternativa que apresenta a negação da proposição: “Gosto de pipoca e gosto de chocolate” ,“Gosto	de	pipoca	e	não	gosto	de	chocolate” ,“Não	gosto	de	pipoca	e	gosto	de	chocolate” ,“Não	gosto	de	pipoca	e	chocolate” ,“Não	gosto	de	pipoca	e	não	gosto	de	chocolate” ,“Não	gosto	de	pipoca	ou	não	gosto	de	chocolate” ,/questoes-de-concursos/questoes/d69f12a6-b5
39,none,none,none,none,none,none,/questoes-de-concursos/questoes/f823a13c-b5
40,none,none,none,none,none,none,/questoes-de-concursos/questoes/b74ea925-b4
41,none,none,none,none,none,none,/questoes-de-concursos/questoes/b6133d41-b4
42,none,none,none,none,none,none,/questoes-de-concursos/questoes/b7ac6170-b4
43,none,none,none,none,none,none,/questoes-de-concursos/questoes/b5348872-b4
44,none,none,none,none,none,none,/questoes-de-concursos/questoes/b3f81c53-b4
45,error,Hoje não faço prova e amanhã vou trabalhar. ,Hoje não faço prova ou amanhã vou trabalhar. ,Hoje não faço prova então amanhã vou trabalhar. , Hoje faço prova e amanhã vou trabalhar. ,Hoje faço prova ou amanhã não vou trabalhar. ,/questoes-de-concursos/questoes/eb9e6149-b3
46, A negação da frase “Se Abelardo passa no concurso então faz uma viagem” é: ,Abelardo não passa no concurso e não faz uma viagem. ,Abelardo não passa no concurso ou não faz uma viagem. ,Abelardo não passa no concurso e faz uma viagem. ,Abelardo passa no concurso ou faz uma viagem. ,Abelardo passa no concurso e não faz uma viagem. ,/questoes-de-concursos/questoes/f09fa788-b0
47,none,none,none,none,none,none,/questoes-de-concursos/questoes/cd70f3f1-b0
48,none,none,none,none,none,none,/questoes-de-concursos/questoes/ccb005df-b0
49," A negação de “hoje é sexta-feira e amanhã não trovejará"" é ",hoje  não  é  sexta -feira  e  amanhã  não  trovejará ,hoje  não  é  sexta -feira  ou  amanhã  trovejará ,hoje  não  é  sexta -feira  então  amanhã  trovejará ,hoje  não  é  sexta -feira  nem  amanhã  trovejará , hoje  é  sexta -feira  ou  amanhã  trovejará ,/questoes-de-concursos/questoes/9dbbfb80-aa
50," Considere a seguinte declaração, feita por um analista político fictício: “se o partido P conseguir eleger Senador no Estado F ou no Estado G, então terá a maioria no Senado”. A partir da declaração do analista, é correto concluir que, necessariamente, se o partido P ","não tiver a maioria no Senado, então não terá conseguido eleger o senador no Estado G. ","tiver a maioria no Senado, então terá conseguido eleger o senador no Estado G. ","tiver a maioria no Senado, então terá conseguido eleger o senador no Estado F. ","não conseguiu eleger o senador no Estado F, então não terá a maioria no Senado. ","não conseguiu eleger o senador no Estado G, então não terá a maioria no Senado. ",/questoes-de-concursos/questoes/f04430de-a4
51, Vou à academia todos os dias da semana e corro três dias na semana. Uma afirmação que corresponde à negação lógica da afirmação anterior é ,Não vou à academia todos os dias da semana ou não corro três dias na semana. ,Vou à academia quase todos os dias da semana e corro dois dias na semana. ,Nunca vou à academia durante a semana e nunca corro durante a semana. ,Não vou à academia todos os dias da semana e não corro três dias na semana. ,"Se vou todos os dias à academia, então corro três dias na semana. ",/questoes-de-concursos/questoes/f0397dfb-9c
52," De acordo com a previsão meteorológica, não iria chover na cidade Z e não iria nevar na cidade Y. Sabendo-se que esta previsão meteorológica não se confirmou, conclui-se que ",choveu na cidade Z e nevou na cidade Y. ,choveu na cidade Z e não nevou na cidade Y. ,não choveu na cidade Z e nevou na cidade Y. ,ou choveu na cidade Z ou nevou na cidade Y ,choveu na cidade Z ou nevou na cidade Y. ,/questoes-de-concursos/questoes/17dfe8cf-9b
53," Dentre as alternativas abaixo, assinale a correta. ",As proposições ~(p ∧ q) e (~p ∨ ~ q) não são logicamente equivalentes.,"A negação da proposição “Ele faz caminhada se, e somente se, o tempo está bom"", é a proposição “Ele não faz caminhada se, e somente se, o tempo não está bom"".",A proposição ~[p ∨ ~(p ∧ q)] é logicamente falsa.,"A proposição “Se está quente, ele usa camiseta"", é logicamente equivalente à proposição “Não está quente e ele usa camiseta"".","A proposição “Se a Terra é quadrada, então a Lua é triangular"" é falsa.",/questoes-de-concursos/questoes/5e8d5b4f-9b
54," Das proposições abaixo, a única que é logicamente equivalente a p → q é ",~q → ~p ,~q → p ,~p → ~q , q → ~p ,~(q → p) ,/questoes-de-concursos/questoes/5d66270e-9b
55," Se p e q são proposições, então a proposição p∧(~q) é equivalente a ",~(p → ~ q) ,~(p → q) ,~ q → ~ p ,~(q → ~ p) ,~(p ∨ q) ,/questoes-de-concursos/questoes/5b07c30c-9b
56,none,none,none,none,none,none,/questoes-de-concursos/questoes/9925a5ba-9a
57,error,nem todo abacaxi é azedo. ,nem todo abacaxi é doce. ,nenhum abacaxi é doce. ,nenhum abacaxi é azedo. ,todo abacaxi é doce. ,/questoes-de-concursos/questoes/f71d4c49-98
58," A negação da sentença ""Se chove então o trânsito fica congestionado"" é: ",Se não chove então o trânsito não fica congestionado. ,Se o trânsito não fica congestionado então não chove. ,Chove e o trânsito não fica congestionado. ,Não chove e o trânsito não fica congestionado. ,Não chove e o trânsito fica congestionado. ,/questoes-de-concursos/questoes/409b049a-97
59," Uma sentença logicamente equivalente a ""Se faz sol e eu acordo cedo, então eu vou à praia""é: ", se não faz sol ou eu não acordo cedo então não vou à praia. ,se eu vou à praia então faz sol e eu acordo cedo. ,se não faz sol e eu não acordo cedo então não vou à praia. ,não faz sol ou eu não acordo cedo ou eu vou à praia. ,"faz sol e eu acordo cedo, ou eu vou à praia. ",/questoes-de-concursos/questoes/3ea418ae-97
60,none,none,none,none,none,none,/questoes-de-concursos/questoes/b1594c30-96
61," Assinale a alternativa que contém a negação da proposição “Se acaba a gasolina, então o carro para”. ",A gasolina não acaba e o carro para. , A gasolina acaba e o carro não para. ," Se a gasolina acaba, então o carro não para. ","Se a gasolina não acaba, então o carro para. ","Se a gasolina não acaba, então o carro não para. ",/questoes-de-concursos/questoes/e39e145e-94
62,none,none,none,none,none,none,/questoes-de-concursos/questoes/09eb9b3c-94
63,none,none,none,none,none,none,/questoes-de-concursos/questoes/07d2590e-94
64,none,none,none,none,none,none,/questoes-de-concursos/questoes/05b87caa-94
65,none,none,none,none,none,none,/questoes-de-concursos/questoes/04ac442a-94
66,none,none,none,none,none,none,/questoes-de-concursos/questoes/039fa0b4-94
67,none,none,none,none,none,none,/questoes-de-concursos/questoes/01865c6b-94
68,none,none,none,none,none,none,/questoes-de-concursos/questoes/0079c367-94
69,error, se Mariana não está em uma foto então Júlia e Luiza estão. , se Júlia e Luiza não estão em uma foto então Mariana está. ,se Júlia ou Luiza não estão em uma foto então Mariana está. ,se Mariana está em uma foto então Júlia e Luiza não estão. ,se Mariana está em uma foto então Júlia não está ou Luiza não está. ,/questoes-de-concursos/questoes/85deb82a-8d
70,error,"Qualquer que seja o quadrilátero convexo, se ele é regular então ele é equilátero ou equiângulo. ", Existe um quadrilátero convexo que é equilátero ou equiângulo mas que não é regular. ,"Qualquer que seja o quadrilátero convexo, se ele não é equilátero ou não é equiângulo então ele não é regular. "," Algum quadrilátero convexo não é regular, mas é equilátero ou equiângulo ","Qualquer que seja o quadrilátero convexo, ele não é equilátero nem é equiângulo, ou ele é regular. ",/questoes-de-concursos/questoes/9ba63739-89
71,error,"Qualquer que seja o candidato a uma vaga de consultor legislativo na Assembleia Legislativa do Estado do Maranhão, se ele foi aprovado então não estudou muito nem teve sorte ",Nenhum candidato a uma vaga de consultor legislativo na Assembleia Legislativa do Estado do Maranhão foi aprovado e não estudou muito nem teve sorte. , Algum candidato a uma vaga de consultor legislativo na Assembleia Legislativa do Estado do Maranhão não foi aprovado ou estudou muito ou teve sorte. , Algum candidato a uma vaga de consultor legislativo na Assembleia Legislativa do Estado do Maranhão foi aprovado e não estudou muito nem teve sorte ,Nenhum candidato a uma vaga de consultor legislativo na Assembleia Legislativa do Estado do Maranhão não foi aprovado e estudou muito mas não teve sorte ,/questoes-de-concursos/questoes/95dddc18-89
72, Considere a afirmação: “Nem todos os técnicos gostam de informática e todos os chefes de seção sabem que isso acontece”. Uma afirmação que corresponde à negação lógica da afirmação anterior é: ,Todos os técnicos gostam de informática e existe algum chefe de seção que não sabe que isso acontece. ,Nenhum técnico gosta de informática e nenhum chefe de seção sabe que isso acontece. ,Pelo menos um técnico gosta de informática e algum chefe de seção não sabe que isso acontece. ,Nenhum técnico gosta de informática ou nenhum chefe de seção sabe que isso acontece. ,Todos os técnicos gostam de informática ou existe algum chefe de seção que não sabe que isso acontece. ,/questoes-de-concursos/questoes/3888d977-85
73," Considere a afirmação: “Se passei no exame, então estudei muito e não fiquei nervoso”. Do ponto de vista lógico, uma afirmação equivalente a essa é: ","Se estudei muito, então não fiquei nervoso e passei no exame. ","Se passei no exame, então não estudei muito e fiquei nervoso. ",Passei no exame porque quem estuda muito só pode passar. ,"Se não fiquei nervoso, então passei no exame ou estudei muito. ","Se fiquei nervoso ou não estudei muito, então não passei no exame. ",/questoes-de-concursos/questoes/36855e4f-85
74,none,none,none,none,none,none,/questoes-de-concursos/questoes/e4a610fb-80
75,none,none,none,none,none,none,/questoes-de-concursos/questoes/e1af0871-80
76,none,none,none,none,none,none,/questoes-de-concursos/questoes/d4b5a8d0-80
77,error,p ∨ ~q ,p ∧ ~q ,~p ∧ q ,~p ∨ ~q ,p ∨ q ,/questoes-de-concursos/questoes/c7e1d0cd-80
78,error,comer de forma saudável contribui para o bem-estar ou ajuda a prevenir doenças crônico-degenerativas. ,comer de forma saudável não contribui para o bem- estar ou não ajuda a prevenir doenças crônico- degenerativas. ,"comer de forma saudável contribui para o bem-estar, mas não ajuda a prevenir doenças crônico- degenerativas. ","comer de forma saudável não contribui para o bem- estar, mas ajuda a prevenir doenças crônico- degenerativas. ",comer de forma saudável não contribui para o bem- estar e não ajuda a prevenir doenças crônico- degenerativas. ,/questoes-de-concursos/questoes/c0b60e31-80
79,error,"Se uma mulher está com a substância gonadotrofina coriônica presente na sua urina, então está grávida. ",Uma mulher está grávida e com a substância gonadotrofina coriônica presente na sua urina. ,"Se uma mulher não está grávida, então não está com a substância gonadotrofina coriônica presente na sua urina. "," Uma mulher está com a substância gonadotrofina coriônica presente na sua urina se, e somente se, está grávida. ","Se uma mulher não está com a substância gonadotrofina coriônica presente na sua urina, então não está grávida. ",/questoes-de-concursos/questoes/bf82b60e-80
80, Determine a negação da proposição “Lívia é estudiosa e Marcos decora”. ,Marcos não decora e Lívia é estudiosa. ,Lívia não é estudiosa ou Marcos não decora ,Lívia não é estudiosa ou Marcos decora , Lívia não é estudiosa e Marcos decora ,Lívia é estudiosa ou Marcos decora. ,/questoes-de-concursos/questoes/2d0b5f03-7b
81," Determine a negação da proposição “Lívia é estudiosa e Marcos decora"" ",Lívia é estudiosa ou Marcos decora.,Lívia não é estudiosa ou Marcos decora.,Marcos não decora e Lívia é estudiosa.,Lívia não é estudiosa e Marcos decora.,Lívia não é estudiosa ou Marcos não decora.,/questoes-de-concursos/questoes/ef383ada-7b
82,error,Esta Operação não visa a implantação de espaços públicos ou não visa a implantação de equipamentos de interesse da comunidade. ,Esta Operação não visa a implantação de espaços públicos ou visa a implantação de equipamentos de interesse da comunidade. ,"Esta Operação não visa a implantação de espaços públicos, e sim a implantação de equipamentos de interesse da comunidade. ",Esta Operação visa a implantação de espaços públicos e não visa a implantação de equipamentos de interesse da comunidade. ,"Se esta Operação não visa a implantação de espaços públicos, então ela não visa a implantação de equipamento de interesse da comunidade. ",/questoes-de-concursos/questoes/f2d3497d-76
83,error,"há, pelo menos, um motorista maluco. ",alguns malucos são motoristas. ,todos os motoristas são malucos. ,todos os malucos são motoristas. ,todos os motoristas não são malucos. ,/questoes-de-concursos/questoes/b0221677-76
84,error, Carne sem gordura é saudável. ,Carne não saudável tem gordura. ,Carne saudável não tem gordura. ,Carne saudável pode ter gordura. ,"Carne, ou não tem gordura ou é saudável. ",/questoes-de-concursos/questoes/acd6c167-76
85,error,"Se Maria cuida da casa, então João estuda e Pedro não trabalha. ","Se Maria cuida da casa, então João estuda ou Pedro não trabalha. ","Se Maria não cuida da casa, então João não estuda ou Pedro não trabalha. ","Se Maria não cuida da casa, então João não estuda ou Pedro trabalha. ","Se Maria não cuida da casa, então João não estuda e Pedro trabalha. ",/questoes-de-concursos/questoes/8de4fb27-74
86,error,algum país não realiza eleições e é democrático ,se um país não realiza eleições então não é democrático ,algum país realiza eleições e não é democrático ,se um país não é democrático então não realiza eleições ,todo país que realiza eleições não é democrático. ,/questoes-de-concursos/questoes/ab108e62-74
87,error,"se não há muitos processos, então os juízes não trabalham muito ","se os juízes trabalham muito, então há muitos processos ",há muitos processos e os juízes não trabalham muito ,não há muitos processos ou os juízes trabalham muito ,há muitos processos e os juízes trabalham muito. ,/questoes-de-concursos/questoes/a4d44b15-74
88,none,none,none,none,none,none,/questoes-de-concursos/questoes/822fe744-73
89, Determine a negação da proposição “Lívia é estudiosa e Marcos decora”. ,Lívia é estudiosa ou Marcos decora ,Lívia não é estudiosa e Marcos decora. ,Lívia não é estudiosa ou Marcos decora. ,Lívia não é estudiosa ou Marcos não decora. ,Marcos não decora e Lívia é estudiosa. ,/questoes-de-concursos/questoes/c81e8f75-6f
